customer_id,Recency,Frequency,Monetary,Price_Tier_Index,Discount_Sensitivity,Category_Breadth,Brand_Loyalty_Score
C01229,0.011049723756906077,0.19298245614035084,0.12647667987294922,1.0,0.17887713149558535,1.0,0.0
C03921,0.14917127071823205,0.14035087719298245,0.17722428880782054,1.0,0.05095369683898362,1.0,0.0
C01529,0.38121546961325964,0.0,0.0,0.0,0.05722181033901732,1.0,0.0
C00440,0.6022099447513812,0.0,0.0,0.0,0.046100963806699466,1.0,0.0
C00029,0.09392265193370165,0.14035087719298245,0.07608856090983405,1.0,0.04205701961312933,1.0,0.0
C00597,0.48066298342541436,0.0,0.0,0.0,0.07905910898429602,1.0,0.0
C00028,0.4419889502762431,0.0,0.0,0.0,0.21527262923771653,1.0,0.0
C00798,0.6629834254143646,0.0,0.0,0.0,0.21810339017321562,1.0,0.0
C01424,0.2044198895027624,0.05263157894736842,0.02610164719825957,1.0,0.1770573566084788,1.0,0.0
C00680,0.6132596685082873,0.0,0.0,0.0,0.07016243175844174,1.0,0.0
C04294,0.35359116022099446,0.08771929824561403,0.029108566627973127,0.9856320873010472,0.03295814517759654,1.0,0.0
C01349,0.0,0.2631578947368421,0.17693198095222884,1.0,0.07683493967783245,1.0,0.0
C01437,0.7679558011049723,0.0,0.0,0.0,0.09887443553278966,1.0,0.0
C03841,0.1602209944751381,0.15789473684210523,0.0737090939966433,0.9998415216681087,0.37332344813641566,1.0,0.0
C03759,0.5082872928176796,0.05263157894736842,0.01560137786800071,0.9638306379325442,0.047516344274449,1.0,0.0
C00031,0.0,0.19298245614035084,0.2558670831374311,1.0,0.05782840196805284,1.0,0.0
C02861,0.2541436464088398,0.08771929824561403,0.03652885324176141,0.9925468757862124,0.18211228685044145,1.0,0.0
C01016,0.6077348066298343,0.0,0.0,0.0,0.06106355732290893,1.0,0.0
C02652,0.0,0.2631578947368421,0.08570452101722478,0.9796080873576501,0.04630316101637798,1.0,0.0
C01813,0.585635359116022,0.0,0.0,0.0,0.04508997775830693,1.0,0.0
C00415,0.30386740331491713,0.05263157894736842,0.0236915434894238,0.9969556252282672,0.19828806362472198,1.0,0.0
C03852,0.430939226519337,0.08771929824561403,0.026901376981721983,0.9858058275416549,0.08087888387140257,1.0,0.0
C04450,0.0,0.4035087719298245,0.14046492103311217,0.9814598145788771,0.33106423131360785,1.0,0.0
C04150,0.3149171270718232,0.05263157894736842,0.043293320948773424,1.0,0.08775358900047178,1.0,0.0
C00875,0.580110497237569,0.0,0.0,0.0,0.19707488036665094,1.0,0.0
C01323,0.49723756906077343,0.0,0.0,0.0,0.05176248567769764,1.0,0.0
C03664,0.43646408839779005,0.08771929824561403,0.03176392882766004,0.9956616734817721,0.05338006335512569,1.0,0.0
C03124,0.5580110497237569,0.0,0.0,0.0,0.17483318730201522,1.0,0.0
C00974,0.6685082872928176,0.0,0.0,0.0,0.06510750151647907,1.0,0.0
C01412,0.2044198895027624,0.10526315789473684,0.1264364417243833,1.0,0.18838040035047515,1.0,0.0
C02379,0.3646408839779005,0.05263157894736842,0.022346615514889104,0.9923215299727439,0.23347037810878213,1.0,0.0
C02501,0.5414364640883977,0.05263157894736842,0.016439731897401312,0.9679809299332651,0.056008627080946276,1.0,0.0
C02126,0.12154696132596685,0.14035087719298245,0.10914424098815922,1.0,0.19424411943115186,1.0,0.0
C03609,0.3646408839779005,0.05263157894736842,0.03230666513336799,1.0,0.16573431286648244,1.0,0.0
C00763,0.6906077348066298,0.0,0.0,0.0,0.21608141807643053,1.0,0.0
C01135,0.2044198895027624,0.14035087719298245,0.09898064815861371,1.0,0.05803059917773135,1.0,0.0
C02424,0.09944751381215469,0.10526315789473684,0.08298473948383785,1.0,0.18110130080204892,1.0,0.0
C04264,0.3425414364640884,0.08771929824561403,0.04231425649366033,1.0,0.16634090449551797,1.0,0.0
C00134,0.5248618784530387,0.0,0.0,0.0,0.2033429938666846,1.0,0.0
C02246,0.42541436464088395,0.14035087719298245,0.04758285529902224,0.9831268464853271,0.24681539394756352,1.0,0.0
C03503,0.5138121546961326,0.0,0.0,0.0,0.04145042798409381,1.0,0.0
C00012,0.6464088397790055,0.0,0.0,0.0,0.09503268854889803,1.0,0.0
C00285,0.0,0.5087719298245614,0.2434932643363518,1.0,0.21041989620543233,1.0,0.0
C04043,0.24861878453038672,0.05263157894736842,0.02327597723992452,0.9955524423220916,0.20091662735054255,1.0,0.0
C02466,0.5248618784530387,0.0,0.0,0.0,0.20415178270539866,1.0,0.0
C03071,0.6408839779005524,0.0,0.0,0.0,0.0689492485003707,1.0,0.0
C01933,0.6077348066298343,0.0,0.0,0.0,0.2241693064635708,1.0,0.0
C01805,0.6353591160220994,0.0,0.0,0.0,0.04670755543573498,1.0,0.0
C04487,0.6629834254143646,0.0,0.0,0.0,0.1992990496731145,1.0,0.0
C01000,0.0,0.2807017543859649,0.2201502143973901,1.0,0.038619667048594715,1.0,0.0
C03985,0.04419889502762431,0.14035087719298245,0.08434539617042244,1.0,0.33409718945878547,1.0,0.0
C03226,0.4530386740331491,0.08771929824561403,0.03797343286498791,1.0,0.2017254161892566,1.0,0.0
