order_id,customer_id,product_id,product_name,category,unit_price,quantity,line_value
O0000001,C00001,5c442dc1-c667-4a22-b063-51f417fff385,unknown,Chưa rõ,99000,1,99000
O0000001,C00001,4a173292-8cfc-4783-840f-c07db06f39ae,unknown,Chưa rõ,625000,1,625000
O0000001,C00001,d05d6e4c-26c1-4d70-bd5e-c54c228d426d,unknown,Chưa rõ,132000,1,132000
O0000001,C00001,abb0c850-3fc1-4f03-acd3-ce8a38d26e69,unknown,Chưa rõ,249000,1,249000
O0000002,C00001,fb1c1b39-78d0-4930-92a1-e65e72e6460f,unknown,Chưa rõ,129000,1,129000
O0000002,C00001,3f84ec76-bf6b-4300-b629-70d609b6bd28,unknown,Chưa rõ,735000,1,735000
O0000003,C00002,5c442dc1-c667-4a22-b063-51f417fff385,unknown,Chưa rõ,99000,1,99000
O0000003,C00002,26ce5d00-3e81-4d24-8c3c-2404591ad5af,unknown,Chưa rõ,125000,1,125000
O0000004,C00003,135e4a5f-64c4-405c-aa58-506e6cc471e4,unknown,Chưa rõ,249000,1,249000
O0000005,C00003,7a02f253-07c1-4f25-a171-3607b8fb5d3a,unknown,Chưa rõ,298000,2,596000
O0000006,C00003,15a4b65d-808d-4310-b691-410b13e559a2,unknown,Chưa rõ,210000,1,210000
O0000006,C00003,b7df484e-c239-4a16-8cf2-b9fca987b3f4,unknown,Chưa rõ,154000,1,154000
O0000006,C00003,5d7a9faa-ce20-4bad-97aa-00dcd2e8224d,unknown,Chưa rõ,110000,2,220000
O0000007,C00003,5cc6f248-00ff-4528-a325-1ebd742d12ec,unknown,Chưa rõ,189000,1,189000
O0000007,C00003,109c5523-b1a1-44a2-aa21-3eb131e7ccaf,unknown,Chưa rõ,257000,1,257000
O0000008,C00003,e72e0263-cfec-41e6-83da-de623a7af1e5,unknown,Chưa rõ,118000,1,118000
O0000009,C00003,54ca5478-c63e-44c9-8819-435d2f2589a5,unknown,Chưa rõ,149000,2,298000
O0000009,C00003,1b91f860-0937-4540-8b2c-aaf8d18c0034,unknown,Chưa rõ,77000,1,77000
O0000010,C00004,15a4b65d-808d-4310-b691-410b13e559a2,unknown,Chưa rõ,210000,2,420000
O0000011,C00005,f8cca01d-7e32-4ef7-ae65-cf6214a3ed01,unknown,Chưa rõ,127000,1,127000
O0000012,C00005,11e9c8f3-8f7a-47d6-87eb-09941479e3e8,unknown,Chưa rõ,261000,1,261000
O0000013,C00005,a7f4ad59-1abe-4c4a-afcd-6c5a6dbeea1c,unknown,Chưa rõ,335000,1,335000
O0000013,C00005,7f9d30c3-dcc2-4571-a427-6e1d1c4159a1,unknown,Chưa rõ,106000,2,212000
O0000014,C00005,314b2cc1-9795-4ffe-b411-ebac11630319,unknown,Chưa rõ,192000,2,384000
O0000015,C00005,8c770142-8811-4081-9660-98635c83f120,unknown,Chưa rõ,90000,1,90000
O0000016,C00005,dbada5a6-817c-48dd-841d-f327e42cd01a,unknown,Chưa rõ,625000,1,625000
O0000016,C00005,089a9c40-e0b6-4056-8ca8-98cd4ccb1009,unknown,Chưa rõ,175000,2,350000
O0000016,C00005,c51f5660-f42d-48eb-b80c-17c68408e929,unknown,Chưa rõ,163000,1,163000
O0000016,C00005,f8cca01d-7e32-4ef7-ae65-cf6214a3ed01,unknown,Chưa rõ,127000,1,127000
O0000017,C00006,314b2cc1-9795-4ffe-b411-ebac11630319,unknown,Chưa rõ,192000,1,192000
O0000017,C00006,0e22f933-bf79-4b28-87df-d0960351caa2,unknown,Chưa rõ,108000,1,108000
O0000017,C00006,fe6f6861-0ea9-4e12-957c-9d1a1aecb195,unknown,Chưa rõ,263000,1,263000
O0000018,C00006,d2058b82-e132-4211-90bf-76a47f24bd9d,unknown,Chưa rõ,158000,2,316000
O0000018,C00006,26ce5d00-3e81-4d24-8c3c-2404591ad5af,unknown,Chưa rõ,125000,1,125000
O0000018,C00006,11e9c8f3-8f7a-47d6-87eb-09941479e3e8,unknown,Chưa rõ,261000,1,261000
O0000019,C00007,5c442dc1-c667-4a22-b063-51f417fff385,unknown,Chưa rõ,99000,2,198000
O0000020,C00007,55349f36-9244-438a-b5f9-3ac5b18b1f2f,unknown,Chưa rõ,263000,1,263000
O0000020,C00007,7a02f253-07c1-4f25-a171-3607b8fb5d3a,unknown,Chưa rõ,298000,1,298000
O0000021,C00008,3b8bb134-fbba-42c0-bd97-6ee479b5bf5b,unknown,Chưa rõ,152000,1,152000
O0000021,C00008,af4bee6a-0243-4193-9258-f748b496bffd,unknown,Chưa rõ,95000,1,95000
O0000021,C00008,19329c16-6550-4b78-8ef3-4d8bb13da066,unknown,Chưa rõ,59000,2,118000
O0000022,C00008,fb1c1b39-78d0-4930-92a1-e65e72e6460f,unknown,Chưa rõ,129000,1,129000
O0000023,C00008,17fe8044-360f-46df-8db7-716f265a392d,unknown,Chưa rõ,239000,1,239000
O0000023,C00008,c5d45c0f-da66-407b-a36f-b13e5ab6c898,unknown,Chưa rõ,90000,1,90000
O0000023,C00008,416cfc8b-e788-464b-b20f-41f4dce7811f,unknown,Chưa rõ,112000,1,112000
