ContactId,PurchaseId,ProductId,PurchasedOn,TotalPrice,IsReturn,ActivityTypeDisplay
CUST_00000,PUR_00000000,PROD_0030,2021-02-21,307.03,False,eCommercePurchase
CUST_00000,PUR_00000001,PROD_0050,2022-03-21,24.02,False,eCommercePurchase
CUST_00000,PUR_00000002,PROD_0042,2023-12-21,36.9,False,eCommercePurchase
CUST_00000,PUR_00000003,PROD_0087,2022-01-24,72.74,False,eCommercePurchase
CUST_00000,PUR_00000004,PROD_0073,2021-09-26,176.34,False,eCommercePurchase
CUST_00000,PUR_00000005,PROD_0030,2021-11-06,324.05,False,eCommercePurchase
CUST_00000,PUR_00000006,PROD_0069,2022-02-27,102.91,False,eCommercePurchase
CUST_00000,PUR_00000007,PROD_0066,2022-11-24,354.58,False,eCommercePurchase
CUST_00001,PUR_00000008,PROD_0042,2023-04-28,55.31,False,eCommercePurchase
CUST_00001,PUR_00000009,PROD_0044,2023-07-28,305.1,False,eCommercePurchase
CUST_00001,PUR_00000010,PROD_0098,2023-01-26,53.38,False,eCommercePurchase
CUST_00001,PUR_00000011,PROD_0096,2022-05-15,34.84,False,eCommercePurchase
CUST_00001,PUR_00000012,PROD_0009,2021-07-20,118.31,False,eCommercePurchase
CUST_00001,PUR_00000013,PROD_0019,2022-12-18,56.24,False,eCommercePurchase
CUST_00001,PUR_00000014,PROD_0007,2021-02-15,177.7,False,eCommercePurchase
CUST_00001,PUR_00000015,PROD_0075,2021-07-24,109.13,False,eCommercePurchase
CUST_00001,PUR_00000016,PROD_0064,2021-12-27,163.78,False,eCommercePurchase
CUST_00001,PUR_00000017,PROD_0085,2023-12-14,98.13,False,eCommercePurchase
CUST_00001,PUR_00000018,PROD_0041,2023-05-15,91.72,False,eCommercePurchase
CUST_00001,PUR_00000019,PROD_0096,2023-10-23,14.56,False,eCommercePurchase
CUST_00002,PUR_00000020,PROD_0064,2022-05-28,178.6,False,eCommercePurchase
CUST_00002,PUR_00000021,PROD_0063,2022-11-04,77.93,False,eCommercePurchase
CUST_00002,PUR_00000022,PROD_0041,2023-10-31,136.16,False,eCommercePurchase
CUST_00003,PUR_00000023,PROD_0055,2023-08-17,101.59,False,eCommercePurchase
CUST_00003,PUR_00000024,PROD_0046,2022-04-28,252.62,False,eCommercePurchase
CUST_00003,PUR_00000025,PROD_0090,2022-01-06,283.15,False,eCommercePurchase
CUST_00003,PUR_00000026,PROD_0006,2022-06-19,173.04,False,eCommercePurchase
CUST_00003,PUR_00000027,PROD_0074,2021-08-06,61.66,False,eCommercePurchase
CUST_00004,PUR_00000028,PROD_0075,2023-08-09,60.14,False,eCommercePurchase
CUST_00004,PUR_00000029,PROD_0021,2021-07-31,59.21,False,eCommercePurchase
CUST_00004,PUR_00000030,PROD_0016,2021-08-15,62.76,False,eCommercePurchase
CUST_00004,PUR_00000031,PROD_0055,2021-11-25,71.47,False,eCommercePurchase
CUST_00004,PUR_00000032,PROD_0098,2023-08-24,48.43,False,eCommercePurchase
CUST_00004,PUR_00000033,PROD_0088,2021-03-14,67.3,False,eCommercePurchase
CUST_00004,PUR_00000034,PROD_0095,2021-03-05,126.17,False,eCommercePurchase
CUST_00004,PUR_00000035,PROD_0035,2021-02-14,126.68,False,eCommercePurchase
CUST_00005,PUR_00000036,PROD_0075,2022-02-05,121.04,False,eCommercePurchase
CUST_00005,PUR_00000037,PROD_0034,2023-01-13,75.36,False,eCommercePurchase
CUST_00005,PUR_00000038,PROD_0071,2021-05-06,43.94,False,eCommercePurchase
CUST_00005,PUR_00000039,PROD_0034,2023-08-04,227.94,False,eCommercePurchase
CUST_00005,PUR_00000040,PROD_0011,2023-06-10,53.19,False,eCommercePurchase
CUST_00006,PUR_00000041,PROD_0052,2022-03-15,121.51,False,eCommercePurchase
CUST_00006,PUR_00000042,PROD_0029,2021-08-13,59.08,False,eCommercePurchase
CUST_00006,PUR_00000043,PROD_0022,2022-03-27,307.41,False,eCommercePurchase
CUST_00006,PUR_00000044,PROD_0049,2022-09-13,83.98,False,eCommercePurchase
CUST_00007,PUR_00000045,PROD_0040,2021-01-04,346.36,False,eCommercePurchase
CUST_00007,PUR_00000046,PROD_0062,2021-08-03,65.54,False,eCommercePurchase
CUST_00007,PUR_00000047,PROD_0061,2021-04-04,35.8,False,eCommercePurchase
CUST_00007,PUR_00000048,PROD_0008,2022-08-21,76.92,False,eCommercePurchase
CUST_00007,PUR_00000049,PROD_0012,2023-04-17,117.4,False,eCommercePurchase
CUST_00007,PUR_00000050,PROD_0031,2023-01-10,80.26,False,eCommercePurchase
CUST_00007,PUR_00000051,PROD_0092,2022-07-19,28.28,False,eCommercePurchase
CUST_00007,PUR_00000052,PROD_0079,2021-12-10,154.81,False,eCommercePurchase
CUST_00007,PUR_00000053,PROD_0082,2023-06-26,125.71,True,eCommercePurchase
CUST_00007,PUR_00000054,PROD_0084,2021-09-11,152.02,False,eCommercePurchase
CUST_00007,PUR_00000055,PROD_0091,2023-05-22,43.79,True,eCommercePurchase
CUST_00008,PUR_00000056,PROD_0033,2021-12-28,113.65,False,eCommercePurchase
CUST_00008,PUR_00000057,PROD_0081,2023-04-21,310.09,False,eCommercePurchase
CUST_00008,PUR_00000058,PROD_0046,2021-09-23,152.73,False,eCommercePurchase
CUST_00009,PUR_00000059,PROD_0003,2022-04-26,56.66,False,eCommercePurchase
CUST_00009,PUR_00000060,PROD_0060,2023-06-11,26.2,False,eCommercePurchase
CUST_00009,PUR_00000061,PROD_0099,2023-06-01,138.06,False,eCommercePurchase
CUST_00009,PUR_00000062,PROD_0052,2023-11-17,121.11,False,eCommercePurchase
CUST_00009,PUR_00000063,PROD_0085,2022-04-08,93.19,False,eCommercePurchase
CUST_00010,PUR_00000064,PROD_0062,2021-05-02,35.24,False,eCommercePurchase
CUST_00010,PUR_00000065,PROD_0073,2021-12-10,235.73,False,eCommercePurchase
CUST_00010,PUR_00000066,PROD_0063,2021-10-22,77.99,False,eCommercePurchase
CUST_00011,PUR_00000067,PROD_0086,2022-09-01,95.88,False,eCommercePurchase
CUST_00011,PUR_00000068,PROD_0031,2021-11-09,75.55,False,eCommercePurchase
CUST_00011,PUR_00000069,PROD_0048,2022-05-07,96.06,False,eCommercePurchase
CUST_00011,PUR_00000070,PROD_0051,2022-03-18,183.76,False,eCommercePurchase
CUST_00011,PUR_00000071,PROD_0093,2023-10-16,171.97,False,eCommercePurchase
CUST_00011,PUR_00000072,PROD_0004,2021-07-31,47.05,False,eCommercePurchase
CUST_00011,PUR_00000073,PROD_0052,2023-05-12,197.43,False,eCommercePurchase
CUST_00011,PUR_00000074,PROD_0099,2021-08-25,62.37,False,eCommercePurchase
CUST_00012,PUR_00000075,PROD_0036,2022-05-25,32.94,False,eCommercePurchase
CUST_00012,PUR_00000076,PROD_0069,2022-12-19,171.09,False,eCommercePurchase
CUST_00012,PUR_00000077,PROD_0045,2021-01-01,66.71,False,eCommercePurchase
